first_defect,combined_with_defect,max_Et,min_Et,max_k,min_k,min_residual_value_used_in_plot,min_residual_value_used_in_plot_Et,min_residual_value_used_in_plot_k
Au,,0.915829145729,0.480527638191,0.224780583355,0.001,0.121990702308,0.723618090452,0.017225859654
CuI,,0.944095477387,0.876256281407,0.120337784078,0.0197916686785,0.933436187897,0.904522613065,0.0560716993821
CuII,,0.644472361809,0.226130653266,932.930402628,7.23263389648,0.35669882615,0.401381909548,19.1164407539
DefectX,,0.667085427136,0.457914572864,1.57029012473,0.636824994472,0.482089434048,0.582286432161,0.965883224116
Mo,,0.712311557789,0.197864321608,286.606761695,7.75259748863,0.372621998322,0.27135678392,38.2749447852
PtI,,0.322236180905,0.310929648241,0.45005576757,0.001,1.05497178935,0.316582914573,0.112266777351
PtII,,0.893216080402,0.209170854271,4.76861169771,0.682607183427,0.933202939985,0.876256281407,1.27505124071
Ti,,0.847989949749,0.842336683417,153.436840893,5.47890117959,0.636072972325,0.842336683417,15.5222535743
Zn,,0.825376884422,0.322236180905,0.784282206134,0.001,0.482405270073,0.327889447236,0.419870708444
