Data ,,,,,,,,,
,,,,,,,,,
"Every combination are attributed 9 lines. Line 1 is 100% the indicated defect, the the fraction changes to 100% the defect in the 9th line trough the fractions 12.5%, 25%, 37.5%, 50%, 62.5%, 75%, and 87.5%",,,,,,,,,
,,,,,,,,,
Et range,0,1.125,eV,,,,,,
k range,0.001,1000,-,,,,,,
tau_p0 range,1E-13,0.001,s,,,,,,
,,,,,,,,,
points Et,point k,points tau_p0,,,,,,,
200,200,700,,,,,,,
,,,,,,,,,
,Defect 1,Defect 2,Max_Et,Min_Et,Max_k,Min_k,Min ARV,Et,k
240,PtI,Mo,0.288316583,0.271356784,38.27494479,23.54286414,1.234981201,0.27701005,31.07866188
241,PtI,Mo,0.288316583,0.271356784,38.27494479,21.96385372,1.165156316,0.27701005,31.07866188
242,PtI,Mo,0.288316583,0.271356784,38.27494479,21.96385372,1.344144138,0.27701005,31.07866188
243,PtI,,0.322236181,0.316582915,0.318062569,0.001,1.770621057,0.322236181,0.001867914
244,Mo,,0.282663317,0.260050251,50.52631065,27.0495973,1.313277677,0.27701005,33.31294788
245,Mo,PtII,0.288316583,0.265703518,43.97603609,21.96385372,1.169805887,0.27701005,31.07866188
246,Mo,PtII,0.288316583,0.260050251,50.52631065,20.4907469,1.996950561,0.27701005,31.07866188
247,Mo,PtII,0.282663317,0.248743719,62.22570837,21.96385372,3.186252549,0.27701005,28.99422854
248,Mo,PtII,0.282663317,0.254396985,54.15871378,20.4907469,4.118014743,0.27701005,28.99422854
249,PtII,Mo,0.282663317,0.243090452,62.22570837,17.83430877,6.158549584,0.27701005,25.2353917
250,PtII,Mo,0.282663317,0.243090452,54.15871378,15.52225357,9.066671063,0.27701005,21.96385372
251,PtII,Mo,0.288316583,0.260050251,21.96385372,6.747544053,14.01576595,0.27701005,14.48118228
252,PtII,,0.887562814,0.248743719,1.275051241,0.784282206,1.10933105,0.876256281,1.189534067
253,Mo,,0.282663317,0.260050251,50.52631065,27.0495973,1.313277677,0.27701005,33.31294788
254,Mo,Ti,0.282663317,0.248743719,66.69919663,23.54286414,2.155853562,0.27701005,28.99422854
255,Mo,Ti,0.282663317,0.243090452,66.69919663,21.96385372,3.353419211,0.27701005,27.0495973
256,Mo,Ti,0.27701005,0.220477387,108.4365969,20.4907469,5.84579838,0.271356784,27.0495973
257,Mo,Ti,0.27701005,0.214824121,108.4365969,16.63816886,8.05773736,0.271356784,23.54286414
258,Ti,Mo,0.27701005,0.209170854,94.37878278,12.6038293,10.3749012,0.265703518,20.4907469
259,Ti,Mo,0.271356784,0.203517588,76.63410868,9.547716114,12.25854924,0.265703518,14.48118228
260,Ti,Mo,0.271356784,0.203517588,43.97603609,5.111433483,13.25960827,0.237437186,15.52225357
261,Ti,,0.84798995,0.836683417,31.07866188,14.48118228,0.864182313,0.842336683,17.83430877
262,Mo,,0.282663317,0.260050251,50.52631065,27.0495973,1.313277677,0.27701005,33.31294788
263,Mo,Zn,0.288316583,0.271356784,38.27494479,21.96385372,1.273045645,0.27701005,31.07866188
264,Mo,Zn,0.288316583,0.265703518,43.97603609,21.96385372,1.63008698,0.282663317,27.0495973
265,Mo,Zn,0.293969849,0.27701005,33.31294788,19.11644075,1.538870409,0.282663317,25.2353917
266,Mo,Zn,0.293969849,0.27701005,31.07866188,17.83430877,2.143607925,0.282663317,25.2353917
267,Zn,Mo,0.293969849,0.282663317,25.2353917,15.52225357,3.047670423,0.282663317,23.54286414
268,Zn,Mo,0.299623116,0.282663317,23.54286414,11.75849554,4.709868113,0.288316583,16.63816886
269,Zn,Mo,0.305276382,0.288316583,15.52225357,6.747544053,6.813020929,0.288316583,12.6038293
270,Zn,,0.333542714,0.327889447,0.636824994,0.148202071,1.757902789,0.327889447,0.340928507
271,PtI,,0.322236181,0.316582915,0.318062569,0.001,1.770621057,0.322236181,0.001867914
272,PtI,PtII,0.887562814,0.864949749,0.965883224,0.594113398,1.867289041,0.876256281,0.784282206
273,PtI,PtII,0.887562814,0.864949749,1.189534067,0.731680714,1.027162955,0.876256281,0.901101825
274,PtI,PtII,0.887562814,0.870603015,1.189534067,0.784282206,1.299283833,0.876256281,0.965883224
275,PtI,PtII,0.887562814,0.870603015,1.189534067,0.901101825,0.745536593,0.876256281,1.035321843
276,PtII,PtI,0.887562814,0.870603015,1.275051241,0.901101825,1.061927856,0.876256281,1.109752496
277,PtII,PtI,0.887562814,0.870603015,1.275051241,0.965883224,0.595893323,0.876256281,1.109752496
278,PtII,PtI,0.887562814,0.870603015,1.275051241,0.965883224,0.671957429,0.876256281,1.109752496
279,PtII,,0.887562814,0.248743719,1.275051241,0.784282206,1.10933105,0.876256281,1.189534067
280,PtI,,0.322236181,0.316582915,0.318062569,0.001,1.770621057,0.322236181,0.001867914
281,PtI,Ti,0.84798995,0.836683417,17.83430877,8.907354639,1.390850795,0.842336683,10.23411402
282,PtI,Ti,0.84798995,0.836683417,25.2353917,12.6038293,0.910723242,0.842336683,15.52225357
283,PtI,Ti,0.84798995,0.836683417,38.27494479,14.48118228,0.967824176,0.842336683,14.48118228
284,PtI,Ti,0.84798995,0.836683417,38.27494479,14.48118228,0.803613348,0.842336683,21.96385372
285,Ti,PtI,0.842336683,0.842336683,38.27494479,14.48118228,0.447977038,0.842336683,21.96385372
286,Ti,PtI,0.842336683,0.842336683,38.27494479,14.48118228,0.261825022,0.842336683,21.96385372
287,Ti,PtI,0.842336683,0.842336683,38.27494479,14.48118228,0.260076572,0.842336683,20.4907469
288,Ti,,0.84798995,0.836683417,31.07866188,14.48118228,0.864182313,0.842336683,17.83430877
289,PtI,,0.322236181,0.316582915,0.318062569,0.001,1.770621057,0.322236181,0.001867914
290,PtI,Zn,0.327889447,0.327889447,0.517092024,0.170276917,0.704711819,0.327889447,0.340928507
291,PtI,Zn,0.327889447,0.327889447,0.517092024,0.170276917,0.704711819,0.327889447,0.340928507
292,PtI,Zn,0.333542714,0.327889447,0.594113398,0.182518349,0.985057625,0.327889447,0.365438307
293,PtI,Zn,0.333542714,0.327889447,0.594113398,0.195639834,1.09338575,0.327889447,0.365438307
294,Zn,PtI,0.333542714,0.327889447,0.594113398,0.195639834,1.210719569,0.327889447,0.365438307
295,Zn,PtI,0.333542714,0.327889447,0.636824994,0.195639834,1.273529497,0.327889447,0.365438307
296,Zn,PtI,0.333542714,0.327889447,0.636824994,0.195639834,1.324913278,0.327889447,0.365438307
297,Zn,,0.333542714,0.327889447,0.636824994,0.148202071,1.757902789,0.327889447,0.340928507
298,PtII,,0.887562814,0.248743719,1.275051241,0.784282206,1.10933105,0.876256281,1.189534067
299,PtII,Ti,0.870603015,0.853643216,3.370064329,2.221946861,1.887977088,0.864949749,2.552908068
300,PtII,Ti,0.864949749,0.84798995,5.47890118,3.872038782,2.033243368,0.853643216,4.768611698
301,PtII,Ti,0.859296482,0.84798995,8.907354639,5.111433483,1.834000221,0.853643216,5.872786613
302,PtII,Ti,0.853643216,0.842336683,10.96985798,6.747544053,1.234817395,0.84798995,8.309941949
303,Ti,PtII,0.853643216,0.842336683,16.63816886,8.309941949,1.684071248,0.84798995,9.547716114
304,Ti,PtII,0.84798995,0.842336683,23.54286414,11.75849554,1.288266804,0.842336683,15.52225357
305,Ti,PtII,0.84798995,0.836683417,27.0495973,11.75849554,1.230934776,0.842336683,15.52225357
306,Ti,,0.84798995,0.836683417,31.07866188,14.48118228,0.864182313,0.842336683,17.83430877
307,PtII,,0.887562814,0.248743719,1.275051241,0.784282206,1.10933105,0.876256281,1.189534067
308,PtII,Zn,0.887562814,0.859296482,1.189534067,0.594113398,2.53877805,0.876256281,0.784282206
309,PtII,Zn,0.887562814,0.853643216,1.035321843,0.450055768,3.419801129,0.870603015,0.636824994
310,PtII,Zn,0.881909548,0.84798995,0.901101825,0.365438307,4.058688176,0.864949749,0.554266452
311,PtII,Zn,0.881909548,0.299623116,0.965883224,0.276828663,4.456191511,0.859296482,0.48241087
312,Zn,PtII,0.870603015,0.305276382,0.901101825,0.258261876,4.232700098,0.84798995,0.554266452
313,Zn,PtII,0.864949749,0.310929648,0.965883224,0.138262217,3.795011096,0.836683417,0.594113398
314,Zn,PtII,0.84798995,0.322236181,0.784282206,0.060102768,2.991459881,0.322236181,0.340928507
315,Zn,,0.333542714,0.327889447,0.636824994,0.148202071,1.757902789,0.327889447,0.340928507
316,Ti,,0.84798995,0.836683417,31.07866188,14.48118228,0.864182313,0.842336683,17.83430877
317,Ti,Zn,0.84798995,0.836683417,17.83430877,8.907354639,1.912491499,0.842336683,10.23411402
318,Ti,Zn,0.84798995,0.831030151,10.96985798,6.29498899,3.023793572,0.836683417,7.752597489
319,Ti,Zn,0.84798995,0.831030151,8.309941949,4.150404758,4.357133036,0.836683417,5.872786613
320,Ti,Zn,0.84798995,0.825376884,5.872786613,2.933166278,5.748256941,0.831030151,4.448782831
321,Zn,Ti,0.248743719,0.203517588,15.52225357,3.6123427,3.7737429,0.237437186,5.47890118
322,Zn,Ti,0.831030151,0.260050251,4.448782831,1.804186409,5.117871225,0.265703518,2.933166278
323,Zn,Ti,0.836683417,0.293969849,1.93389175,0.901101825,5.165437758,0.819723618,1.366716356
324,Zn,,0.333542714,0.327889447,0.636824994,0.148202071,1.757902789,0.327889447,0.340928507
