first_defect,combined_with_defect,max_Et,min_Et,max_k,min_k,min_residual_value_used_in_plot,min_residual_value_used_in_plot_Et,min_residual_value_used_in_plot_k
Au,,0.893216080402,0.508793969849,0.340928506975,0.001,0.0559553948695,0.570979899497,0.017225859654
CuI,,0.932788944724,0.881909547739,0.0977124153535,0.0261267522556,1.03245615599,0.904522613065,0.0560716993821
CuII,,0.616206030151,0.395728643216,20.4907468982,12.6038292968,0.679178909162,0.610552763819,15.5222535743
DefectX,,0.638819095477,0.497487437186,1.46497139831,0.594113398497,0.299355180704,0.565326633166,1.0353218433
Mo,,0.293969849246,0.260050251256,58.0522551609,17.8343087693,0.974618132685,0.277010050251,33.3129478793
PtI,,0.322236180905,0.316582914573,0.840665288562,0.001,1.83677943963,0.316582914573,0.45005576757
PtII,,0.893216080402,0.220477386935,5.87278661319,0.840665288562,0.804345109513,0.881909547739,1.0353218433
Ti,,0.85364321608,0.831030150754,71.494289866,13.509935212,0.774732120828,0.842336683417,19.1164407539
Zn,,0.814070351759,0.327889447236,1.10975249641,0.001,1.22531613013,0.327889447236,0.45005576757
